"Date","TSAscreenings"
"9/29/21",1934592
"9/30/21",2011794
"10/1/21",1534114
"10/2/21",2100167
"10/3/21",1842054
"10/4/21",1390201
"10/5/21",1563565
"10/6/21",2063090
"10/7/21",2169783
"10/8/21",1645563
"10/9/21",2086146
"10/10/21",2083627
"10/11/21",1695970
"10/12/21",1641419
"10/13/21",2048398
"10/14/21",2070878
"10/15/21",1704466
"10/16/21",2213296
"10/17/21",2001297
"10/18/21",1446353
"10/19/21",1647089
"10/20/21",2046694
"10/22/21",2108582
"10/23/21",1626185
"10/24/21",2107839
"10/25/21",1989373
"10/26/21",1503587
"10/27/21",1547075
"10/28/21",1927041
"10/29/21",1982773
"10/30/21",1518020
"10/31/21",1845965
"11/1/21",1992577
"11/2/21",1487874
"11/3/21",1525948
"11/4/21",1940302
"11/5/21",2035406
"11/6/21",1527465
"11/7/21",2152721
"11/8/21",1955530
"11/9/21",1456657
"11/10/21",1691526
"11/11/21",2064753
"11/12/21",2001439
"11/13/21",1559772
"11/14/21",2150150
"11/15/21",2010601
"11/16/21",1491890
"11/17/21",1624511
"11/18/21",2044545
"11/19/21",2242956
"11/20/21",2004579
"11/21/21",2213716
"11/22/21",2081064
"11/23/21",2207949
"11/24/21",2311978
"11/25/21",1382230
"11/26/21",1778983
"11/27/21",2208192
"11/28/21",2451300
"11/29/21",2237087
"11/30/21",1810460
"12/1/21",1660506
"12/2/21",1866275
"12/3/21",1952294
"12/4/21",1566729
"12/5/21",2068792
"12/6/21",1854048
"12/7/21",1459054
"12/8/21",1610785
"12/9/21",1959937
"12/10/21",2045674
"12/11/21",1669737
"12/12/21",2040364
"12/13/21",1912915
"12/14/21",1520251
"12/15/21",1762920
"12/16/21",2062579
"12/17/21",2233754
"12/18/21",2035273
"12/19/21",2118528
"12/20/21",2098540
"12/21/21",1979089
"12/22/21",2081297
"12/23/21",2187792
"12/24/21",1709601
"12/25/21",1533398
"12/26/21",2070554
"12/27/21",2089186
"12/28/21",1995747
"12/29/21",2017937
"12/30/21",2049604
"12/31/21",1650795
"1/1/22",1616316
"1/2/22",2023309
"1/3/22",1916499
"1/4/22",1666715
"1/5/22",1493235
"1/6/22",1533544
"1/7/22",1502714
"1/8/22",1449698
"1/9/22",1693518
"1/10/22",1449550
"1/11/22",1125952
"1/12/22",1231419
"1/13/22",1541835
"1/14/22",1728383
"1/15/22",1403734
"1/16/22",1379403
"1/17/22",1699242
"1/18/22",1301462
"1/19/22",1201583
"1/20/22",1471161
"1/21/22",1514369
"1/22/22",1241792
"1/23/22",1648529
"1/24/22",1397281
"1/25/22",1059741
"1/26/22",1198339
"1/27/22",1555773
"1/28/22",1632406
"1/29/22",1070691
"1/30/22",1714280
"1/31/22",1537573
"2/1/22",1200580
"2/2/22",1192973
"2/3/22",1339533
"2/4/22",1577790
"2/5/22",1399444
"2/6/22",1785846
"2/7/22",1591438
"2/8/22",1232591
"2/9/22",1386325
"2/10/22",1782705
"2/11/22",1914374
"2/12/22",1534080
"2/13/22",1815824
"2/14/22",1731473
"2/15/22",1479653
"2/16/22",1656217
"2/17/22",1977756
"2/18/22",2241123
"2/19/22",1826392
"2/20/22",2067788
"2/21/22",2215453
"2/22/22",1780987
"2/23/22",1752841
"2/24/22",1980803
"2/25/22",2098325
"2/26/22",1840996
"2/27/22",2145281
"2/28/22",1979422
"3/1/22",1635546
"3/2/22",1738406
"3/3/22",2038115
"3/4/22",2132807
"3/5/22",1830246
"3/6/22",2180940
"3/7/22",2017973
"3/8/22",1644052
"3/9/22",1844208
"3/10/22",2184044
"3/11/22",2297374
"3/12/22",1990954
"3/13/22",2288800
"3/14/22",2200172
"3/15/22",1858773
"3/16/22",1993734
"3/17/22",2221946
"3/18/22",2308212
"3/19/22",2099056
"3/20/22",2366751
"3/21/22",2158280
"3/22/22",1856872
"3/23/22",1962056
"3/24/22",2234353
"3/25/22",2290587
"3/26/22",2009500
"3/27/22",2307110
"3/28/22",2131678
"3/29/22",1736292
"3/30/22",1887350
"3/31/22",2196867
"4/1/22",2271659
"4/2/22",1913117
"4/3/22",2204115
"4/4/22",2139084
"4/5/22",1848862
"4/6/22",1978691
"4/7/22",2216218
"4/8/22",2318977
"4/9/22",1946502
"4/10/22",2293548
"4/11/22",2181446
"4/12/22",1883294
"4/13/22",2040285
"4/14/22",2337501
"4/15/22",2311092
"4/16/22",1894331
"4/17/22",2214519
"4/18/22",2288902
"4/19/22",1979882
"4/20/22",2027836
"4/21/22",2279905
"4/22/22",2293242
"4/23/22",1826772
"4/24/22",2293427
"4/25/22",2182717
"4/26/22",1863020
"4/27/22",1996601
"4/28/22",2258077
"4/29/22",2275133
"4/30/22",1877559
"5/1/22",2263646
"5/2/22",2136427
"5/3/22",1764745
"5/4/22",1953128
"5/5/22",2234701
"5/6/22",2279258
"5/7/22",1869222
"5/8/22",2248861
"5/9/22",2231804
"5/10/22",1900738
"5/11/22",2025161
"5/12/22",2327671
"5/13/22",2352035
"5/14/22",1979713
"5/15/22",2395894
"5/16/22",2278197
"5/17/22",2036479
"5/18/22",2097515
"5/19/22",2348193
"5/20/22",2346625
"5/21/22",1988843
"5/22/22",2350927
"5/23/22",2329044
"5/24/22",2020742
"5/25/22",2147736
"5/26/22",2379860
"5/27/22",2384721
"5/28/22",1994151
"5/29/22",2096466
"5/30/22",2312179
"5/31/22",2108054
"6/1/22",1999087
"6/2/22",2213168
"6/3/22",2332592
"6/4/22",1981408
"6/5/22",2387196
"6/6/22",2279743
"6/7/22",2052377
"6/8/22",2155747
"6/9/22",2371014
"6/10/22",2364754
"6/11/22",2085927
"6/12/22",2380725
"6/13/22",2378868
"6/14/22",2117726
"6/15/22",2229941
"6/16/22",2371860
"6/17/22",2438784
"6/18/22",2173292
"6/19/22",2384449
"6/20/22",2426408
"6/21/22",2144185
"6/22/22",2186631
"6/23/22",2432124
"6/24/22",2454781
"6/25/22",2190008
"6/26/22",2462097
"6/27/22",2367232
"6/28/22",2129423
"6/29/22",2227863
"6/30/22",2444471
"7/1/22",2490490
"7/2/22",2160542
"7/3/22",2094381
"7/4/22",2081119
"7/5/22",2194459
"7/6/22",2124230
"7/7/22",2238917
"7/8/22",2273221
"7/9/22",2132467
"7/10/22",2438070
"7/11/22",2292793
"7/12/22",2062952
"7/13/22",2166953
"7/14/22",2387231
"7/15/22",2421430
"7/16/22",2185441
"7/17/22",2445936
"7/18/22",2350360
"7/19/22",2127327
"7/20/22",2219416
"7/21/22",2423437
